[1/3] C 소스 파일 컴파일 중: files/main.c
[2/3] CPU 및 16MB DRAM 초기화 중...
[3/3] 파이프라인 시뮬레이션 시작

========================= Simulation Running =========================
[00100 Cycle] IF_PC: 0x0000025C | ID_PC: 0x00000258 | EX_PC: 0x00000254 | sp: 0x007FFFD0 | a0: 88 | s0: 8388608 | s5: 23
[00101 Cycle] IF_PC: 0x00000260 | ID_PC: 0x0000025C | EX_PC: 0x00000258 | sp: 0x007FFFD0 | a0: 88 | s0: 8388608 | s5: 23
[00102 Cycle] IF_PC: 0x00000264 | ID_PC: 0x00000260 | EX_PC: 0x0000025C | sp: 0x007FFFD0 | a0: 88 | s0: 8388608 | s5: 8388560
[00103 Cycle] IF_PC: 0x00000268 | ID_PC: 0x00000264 | EX_PC: 0x00000260 | sp: 0x007FFFD0 | a0: 88 | s0: 8388608 | s5: 8388560
[00104 Cycle] IF_PC: 0x0000017C | ID_PC: 0x00000000 | EX_PC: 0x00000000 | sp: 0x007FFFD0 | a0: 88 | s0: 8388608 | s5: 8388560
[00105 Cycle] IF_PC: 0x00000180 | ID_PC: 0x0000017C | EX_PC: 0x00000000 | sp: 0x007FFFD0 | a0: 8388560 | s0: 8388608 | s5: 8388560
[00106 Cycle] IF_PC: 0x00000184 | ID_PC: 0x00000180 | EX_PC: 0x0000017C | sp: 0x007FFFD0 | a0: 8388560 | s0: 8388608 | s5: 8388560
[00107 Cycle] IF_PC: 0x00000188 | ID_PC: 0x00000184 | EX_PC: 0x00000180 | sp: 0x007FFFD0 | a0: 8388560 | s0: 8388608 | s5: 8388560
[00108 Cycle] IF_PC: 0x0000018C | ID_PC: 0x00000188 | EX_PC: 0x00000184 | sp: 0x007FFFD0 | a0: 8388560 | s0: 8388608 | s5: 8388560
[00109 Cycle] IF_PC: 0x0000018C | ID_PC: 0x00000188 | EX_PC: 0x00000184 | sp: 0x007FFFA0 | a0: 8388560 | s0: 8388608 | s5: 8388560
[00110 Cycle] IF_PC: 0x0000018C | ID_PC: 0x00000188 | EX_PC: 0x00000184 | sp: 0x007FFFA0 | a0: 8388560 | s0: 8388608 | s5: 8388560
[00111 Cycle] IF_PC: 0x0000018C | ID_PC: 0x00000188 | EX_PC: 0x00000184 | sp: 0x007FFFA0 | a0: 8388560 | s0: 8388608 | s5: 8388560
[00112 Cycle] IF_PC: 0x0000018C | ID_PC: 0x00000188 | EX_PC: 0x00000184 | sp: 0x007FFFA0 | a0: 8388560 | s0: 8388608 | s5: 8388560
[00113 Cycle] IF_PC: 0x00000190 | ID_PC: 0x0000018C | EX_PC: 0x00000188 | sp: 0x007FFFA0 | a0: 8388560 | s0: 8388608 | s5: 8388560
[00114 Cycle] IF_PC: 0x00000190 | ID_PC: 0x0000018C | EX_PC: 0x00000188 | sp: 0x007FFFA0 | a0: 8388560 | s0: 8388608 | s5: 8388560
[00115 Cycle] IF_PC: 0x00000190 | ID_PC: 0x0000018C | EX_PC: 0x00000188 | sp: 0x007FFFA0 | a0: 8388560 | s0: 8388608 | s5: 8388560
[00116 Cycle] IF_PC: 0x00000190 | ID_PC: 0x0000018C | EX_PC: 0x00000188 | sp: 0x007FFFA0 | a0: 8388560 | s0: 8388608 | s5: 8388560
[00117 Cycle] IF_PC: 0x00000190 | ID_PC: 0x0000018C | EX_PC: 0x00000188 | sp: 0x007FFFA0 | a0: 8388560 | s0: 8388608 | s5: 8388560
[00118 Cycle] IF_PC: 0x00000194 | ID_PC: 0x00000190 | EX_PC: 0x0000018C | sp: 0x007FFFA0 | a0: 8388560 | s0: 8388608 | s5: 8388560
[00119 Cycle] IF_PC: 0x00000198 | ID_PC: 0x00000194 | EX_PC: 0x00000190 | sp: 0x007FFFA0 | a0: 8388560 | s0: 8388608 | s5: 8388560
[00120 Cycle] IF_PC: 0x00000198 | ID_PC: 0x00000194 | EX_PC: 0x00000190 | sp: 0x007FFFA0 | a0: 8388560 | s0: 8388560 | s5: 8388560
[00121 Cycle] IF_PC: 0x00000198 | ID_PC: 0x00000194 | EX_PC: 0x00000190 | sp: 0x007FFFA0 | a0: 8388560 | s0: 8388560 | s5: 8388560
[00122 Cycle] IF_PC: 0x00000198 | ID_PC: 0x00000194 | EX_PC: 0x00000190 | sp: 0x007FFFA0 | a0: 8388560 | s0: 8388560 | s5: 8388560
[00123 Cycle] IF_PC: 0x00000198 | ID_PC: 0x00000194 | EX_PC: 0x00000190 | sp: 0x007FFFA0 | a0: 8388560 | s0: 8388560 | s5: 8388560
[00124 Cycle] IF_PC: 0x0000019C | ID_PC: 0x00000198 | EX_PC: 0x00000194 | sp: 0x007FFFA0 | a0: 8388560 | s0: 8388560 | s5: 8388560
